ListPrices,PricePaid,Title
$49.99 ,29.99,TEAMGROUP MS30 512GB with SLC Cache 3D NAND TLC M.2 2280 SATA III 6Gb/s Internal Solid State Drive SSD (Read/Write Speed up to 530/430 MB/s) Compatible with Laptop & PC Desktop TM8PS7512G0C101
$42.99 ,26.99,TEAMGROUP AX2 512GB 3D NAND TLC 2.5 Inch SATA III Internal Solid State Drive SSD (Read Speed up to 540 MB/s) Compatible with Laptop & PC Desktop T253A3512G0C101
$849.99 ,598.13,"SAMSUNG 870 QVO SATA III 2.5"" SSD 8TB (MZ-77Q8T0B)"
$129.99 ,64.99,"WD_BLACK 1TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS100T3X0E"
$679.99 ,579,"HP Pavilion Desktop PC, 12th Gen Intel Core i5-12400, 8 GB RAM, 512 GB SSD, Windows 11 Home, Wi-Fi 6 & Bluetooth, 9 USB Ports, Wired Keyboard & Mouse Combo, Pre-Built PC Tower (TP01-3050, 2022)"
,1189,"Lenovo IdeaCentre 5 Gaming Desktop, Intel Core i7-12700 Processor, GeForce RTX 3060, 32GB RAM, 512GB SSD + 1TB HDD, RJ45, HDMI, DP, Wired KB & Mouse, Wi-Fi 6, Windows 11 Home"
$879.99 ,699,"HP Pavilion Desktop PC, 12th Gen Intel Core i7-12700, 12 GB SDRAM, 512 GB SSD, Windows 11 Home, Wi-Fi 6 & Bluetooth, 9 USB Ports, Wired Keyboard & Mouse Combo, Pre-Built PC Tower (TP01-3070, 2022)"
,,"HP EliteDesk 800 G3 Mini Business Desktop PC Intel Quad-Core i5-6500T up to 3.1G,16G DDR4,256G SSD,VGA,DP Port,Windows 10 Professional 64 Bit-Multi-Language-English/Spanish (Renewed)"
,,"Dell Optiplex 3050 SFF Desktop Computer PC, Intel Quad Core i5-6500 up to 3.6GHz, 16GB DDR4, 256GB SSD, WiFi, 4K Support, DP, HDMI,Windows 10 Pro 64 Bit English/Spanish/French(Renewed)"
$834.99 ,749.97,"HP Pavilion Desktop PC, AMD Ryzen 7 5700G, 16 GB RAM, 512 GB SSD, Windows 11 Pro, Wi-Fi 5 & Bluetooth Connectivity, 9 USB Ports, Wired Mouse and Keyboard Combo, Pre-Built Tower (TP01-2022, 2021)"
"$1,259.99 ",1145.59,"Dell XPS 8950 Desktop Computer - 12th Gen Intel Core i7-12700, 32GB DDR5 RAM, 512GB SSD + 1TB HDD, Intel UHD 770 Graphics, Killer Wi-Fi 6, Air Cooling, USB-C, Bluetooth, Windows 11 Pro - Black"
,859.99,"HP Newest Pavilion TP01 Desktop Computer, AMD Ryzen 7-5700G (Beats i9-10900), AMD Radeon, DVD Writer, Wireless, 9 USB Ports, HDMI, Bluetooth, Windows 11 Home (32GB RAM | 1 TB PCIe SSD)"
,829.99,"HP Envy Desktop, 12th Gen Intel Core i7-12700, 16 GB RAM, 512 GB SSD & 1 TB SATA Hard Drive, Windows 11 Pro, Wi-Fi & Bluetooth, Wired Keyboard & Mouse, Pre-Built PC Tower (TE01-3022, 2022)"
,399,"CHUWI CoreBox Mini PC, Windows 10 Mini Desktop Computers with Core i5-8259U Processors,16GB DDR4 RAM 512GB SSD, Up to 3.8GHz, Dual WiFi/Gigabit Ethernet /4K Decoding /BT4.2 /Auto Power On/WOL"
$749.99 ,679,Acer Aspire TC-1760-UR11 Desktop | 12th Gen Intel Core i5-12400 6-Core Processor | 16GB 3200MHz DDR4 | 512GB NVMe M.2 SSD | 8X DVD | Intel Wireless Wi-Fi 6E AX211 | Bluetooth 5.2 | Windows 11 Pro
,,"HP Elite Desktop PC Computer Intel Core i5 3.1-GHz, 8 gb Ram, 1 TB Hard Drive, DVDRW, 19 Inch LCD Monitor, Keyboard, Mouse, Wireless WiFi, Windows 10 (Renewed)"
,634,"Acer Aspire TC-895-UA92 Desktop, 10th Gen Intel Core i5-10400 6-Core Processor, 12GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home"
,,"Lenovo ThinkCentre M900 SFF Desktop Computer, Intel Core i7-6700 Upto 4.0GHz, 32GB RAM, 1TB SSD, 4K 2-Monitor Support DisplayPort, HDMI, DVD-RW, AC Wi-Fi, Bluetooth, TDL - Windows 10 Pro (RENEWED)"
,20.99,"GreenYellow Webcam for PC, USB Camera with Microphone Plug Play Built-in Mic Full Ultra HD 1080P Web Camera Video Cam Video Calling Conferencing Streaming for Desktop/Computer/Mac/Laptop/MacBook"
,1289,"Lenovo IdeaCentre 5 Gaming Desktop, 12th Gen Intel Core i7-12700 Processor, GeForce RTX 3060, 16GB RAM, 1TB PCIe SSD + 2TB HDD, RJ45, DP, HDMI, Wired KB & Mouse, Wi-Fi 6, Windows 11 Home, Black"
,,"HP Elite 800G1 Desktop Computer Package - Intel Quad Core i5 3.3GHz, 16GB RAM, 240GB SSD 2TB HDD, Windows 10 Pro, Dual 19 inch Monitors, Keyboard, Mouse (Renewed)"
,,"Dell Optiplex 7010 Desktop Computer - Intel Core i7 Up to 3.8GHz Max Turbo Frequency, 16GB DDR3, New 1TB SSD, Windows 10 Pro 64-Bit, WiFi, USB 3.0, DVDRW, 2X Display Port (Renewed)"
$44.99 ,39.99,"USB C Charger, KOVOL 65W 4-Port PD GaN III Desktop Charger USB C Charging Station with Dual USB C+Dual USB A Ports PPS 25W Super Fast Charging for Galaxy, iPhone, iPad Air/Pro, MacBook Pro/Air, Laptop"
,,HP Z840 AutoCAD Workstation 2X E5-2637 V3 8 Cores 16 Threads 3.5Ghz 128GB 250GB SSD 2TB Quadro K2200 Win 10 Pro (Renewed)
,,"HP EliteDesk 800 G2 Business Desktop, Intel Core i7 6700 3.4Ghz, 32GB DDR4 RAM, 1TB SSD Hard Drive, Windows 10 (Renewed)"
,74.99,"UBeesize Softbox Photography Lighting Kit, 30""X30"" Professional Softbox Lighting Kit with 2pcs 40W E26 Socket 8000K Bulbs, Continuous Lighting Kit for Portraits Advertising Shooting, Video Recording"
$89.99 ,82.99,"HPUSN Softbox Photography Lighting Kit 30""X30"" Professional Continuous Lighting System Photo Studio Equipment with 2pcs E27 Socket 5400K Bulbs for Portraits Advertising Shooting YouTube Video"
$89.99 ,80.99,"EMART Softbox Lighting Kit with Sandbag, 20""x28"" Soft Box Lights Photography Accessories with 2x105W E27 5500K Bulbs , Professional Camera Light Kit for Studio Video Recording, Filming, Podcast"
,129.99,"EMART 8.5x10ft Photography Backdrop Kit with 400W 5500K Daylight Umbrella Continuous Lighting Set, Black & White Backgrounds for Photo Studio Product, Photoshoot, Portrait Shoot"
$75.99 ,69.99,"PHOPIK Softbox Photography Lighting Kit: Photo Studio Equipment 30 x 30 inches with E27 60W 5400K Light Bulb and Adjustable Height Light Stand for Filming Video, Photo Shooting and Streaming"
$89.99 ,69.22,"Led Video Lighting Kit with Wand Stick - Photography Studio Light ,Adjustable Tripod Stand,Vallkay 9 Color Filters 5600K Dimmable Portable Stand for Live Streaming/Portrait Photo/ Vlog, Black (D4002)"
$39.99 ,27.99,"Neewer 2-Pack Dimmable 5600K USB LED Video Light with Adjustable Tripod Stand and Color Filters for Tabletop/Low-Angle Shooting, Zoom/Video Conference Lighting/Game Streaming/YouTube Video Photography"
,209.99,"NEEWER 2 Pack Bi Color 660 LED Video Light and Stand Kit: (2) 3200-5600K CRI 96+ Dimmable Light with U Bracket and Barndoor, (2) 75 inches Light Stand for Studio Photography, Video Recording (Black)"
,153.99,SH 2.6M x 3M/8.5ft x 10ft Photography Lighting Backdrops Stand Accessories Kit and 4 x 85W 5500K Bulbs Green Screen Umbrellas Softbox Continuous Light Kit for Photo Studio Portrait Video Shoot1
$231.99 ,231.99,"Dazzne D50 LED Video Light Panel Lights 15.4"", 2 Packs 45W 3000K-8000K Bi-Color Dimmable Photography Lighting, CRI 96+ Videography Lighting for Video Shooting/Web Conference/Gaming/Live Stream/YouTube"
$85.99 ,68.79,"RALENO Softbox Photography Lighting Kit 20""X28"" Photography Continuous Lighting System Photo Studio Equipment with 2pcs E27 Socket 5500K Bulb Photo Model Portraits Shooting Box"
,138.99,"ShowMaven Photography Lighting Kit, Softbox Light Kit with 6.5ft x 10ft Photography Backdrop Stand for Product Photography, Portrait Photography, Video Shooting Photography"
$219.99 ,174.99,LINCO Lincostore Photo Video Studio Light Kit AM169 - Including 3 Color Backdrops (Black/White/Green) Background Screen
,14.99,"Etekcity 24"" (60cm) 5-in-1 Photography Reflector Light Reflectors for Photography Multi-Disc Photo Reflector Collapsible with Bag - Translucent, Silver, Gold, White and Black"
$49.99 ,44.99,"13"" Selfie Ring Light with 63"" Stand and Phone Holder, 53 Lighting Modes, Remote, iPad Holder, Desk Tripod, RGB Ringlight for iPhone. Vlogging Circle Led Halo Light Content Creator Kit for Video Photo"
,32.99,2pcs 135W Light Bulb 5500K CFL Daylight Spiral Softbox Lighting Kit Bulb in E27 Socket for Photography Photo
